rank	score	word	letters	syllables	zipf	flags
74	3.77	pounding	8	2	3.57	inflected
75	3.77	prolactin	9	3	2.37	-
76	3.77	pudgy	5	2	2.47	-
77	3.76	passbook	8	2	2.06	-
78	3.76	promoter	8	3	3.56	inflected
79	3.76	pushup	6	2	2.06	-
80	3.75	proteome	8	3	2.05	-
81	3.73	pompadour	9	3	2.33	-
82	3.69	payola	6	3	1.99	-
83	3.69	plexiglass	10	3	2.29	-
84	3.68	prostrate	9	2	2.68	-
85	3.66	perceived	9	2	4.16	inflected
86	3.64	poplin	6	2	1.94	-
87	3.64	promptly	8	2	3.84	inflected
88	3.62	paving	6	2	3.42	inflected
89	3.62	pigsty	6	2	1.92	-
90	3.62	piping	6	2	3.42	inflected
91	3.61	poking	6	2	3.41	inflected
92	3.61	posed	5	1	3.81	inflected
93	3.59	patroness	9	3	2.19	-
94	3.56	polack	6	2	1.86	-
95	3.56	poorhouse	9	2	2.16	-
96	3.56	privation	9	3	2.16	-
97	3.55	pellagra	8	3	1.85	-
98	3.52	perfecta	8	3	1.82	-
99	3.52	pietism	7	3	1.82	-
100	3.51	printmaker	10	3	2.11	-
101	3.5	piling	6	2	3.3	inflected
102	3.49	pung	4	1	1.79	-
103	3.48	petulance	9	3	2.08	-
104	3.48	prostatic	9	3	2.48	-
105	3.42	pigmy	5	2	1.72	-
106	3.42	prepuce	7	2	1.72	-
107	3.41	pigman	6	2	1.71	-
108	3.4	praising	8	2	3.6	inflected
109	3.37	plosive	7	2	1.67	-
110	3.36	potshot	7	2	1.66	-
111	3.35	poaching	8	2	3.15	inflected
112	3.3	peaceably	9	3	2.3	-
113	3.28	passim	6	2	1.98	-
114	3.26	peacenik	8	2	1.56	-
115	3.26	pierced	7	1	3.46	inflected
116	3.26	preserves	9	2	3.36	inflected
117	3.26	purchaser	9	3	3.36	inflected
118	3.24	parted	6	2	3.44	inflected
119	3.23	portraying	10	3	3.33	inflected
120	3.23	purulent	8	3	1.93	-
121	3.22	patristic	9	3	2.22	-
122	3.22	piloting	8	3	3.02	inflected
123	3.22	presently	9	3	3.72	inflected
124	3.21	peddling	8	2	3.01	inflected
125	3.2	pitting	7	2	3.0	inflected
126	3.19	picker	6	2	2.99	inflected
127	3.18	phrasing	8	2	2.98	inflected
128	3.18	pratfall	8	2	1.48	-
129	3.18	punks	5	1	2.98	inflected
130	3.15	popper	6	2	2.95	inflected
131	3.14	peeled	6	1	3.34	inflected
132	3.14	peristyle	9	3	1.74	-
133	3.13	pusher	6	2	2.93	inflected
134	3.12	passably	8	3	1.82	-
135	3.12	polluted	8	3	3.32	inflected
136	3.09	priming	7	2	2.89	inflected
137	3.07	pegmatite	9	3	1.67	-
138	3.07	pulsing	7	2	2.87	inflected
139	3.05	parodist	8	3	1.35	-
140	3.05	pounder	7	2	2.85	inflected
141	3.05	probative	9	3	2.05	-
142	3.04	privates	8	2	2.84	inflected
143	3.03	potboiler	9	3	1.63	-
144	3.01	pilferage	9	3	1.61	-
145	3.01	protester	9	3	3.11	inflected
146	2.99	pipefish	8	2	1.29	-
147	2.98	pauper	6	2	2.78	inflected
148	2.98	plucked	7	1	3.18	inflected
149	2.97	prothorax	9	3	1.57	-
150	2.96	pengo	5	2	1.26	-
151	2.96	pitted	6	2	3.16	inflected
152	2.94	pinched	7	1	3.14	inflected
153	2.91	potpie	6	2	1.21	-
154	2.91	purvey	6	2	1.61	-
155	2.89	phagocyte	9	3	1.49	-
156	2.88	pleaser	7	2	2.68	inflected
157	2.86	proration	9	3	1.46	-
158	2.83	pons	4	1	2.63	inflected
159	2.83	practised	9	2	3.33	inflected
160	2.83	prickly	7	2	3.03	inflected
161	2.81	phonics	7	2	2.61	inflected
162	2.79	poached	7	1	2.99	inflected
163	2.79	prelims	7	2	2.59	inflected
164	2.78	posthole	8	2	1.08	-
165	2.77	perusing	8	3	2.57	inflected
166	2.76	piddock	7	2	1.06	-
167	2.76	protracted	10	3	3.26	inflected
168	2.75	pussyfoot	9	3	1.75	-
169	2.74	paring	6	2	2.54	inflected
170	2.74	pilotless	9	3	1.74	-
171	2.7	puffed	6	1	2.9	inflected
172	2.69	perverted	9	3	3.19	inflected
173	2.69	princely	8	2	2.89	inflected
174	2.68	peeler	6	2	2.48	inflected
175	2.65	polyphase	9	3	1.65	-
176	2.64	predaceous	10	3	1.64	-
177	2.63	pelting	7	2	2.43	inflected
178	2.59	pectic	6	2	1.29	-
179	2.59	polemics	8	3	2.39	inflected
180	2.58	pondering	9	3	3.08	inflected
181	2.58	pronged	7	1	2.78	inflected
182	2.57	ploughed	8	1	2.77	inflected
183	2.56	protruding	10	3	3.06	inflected
184	2.53	professing	10	3	2.63	inflected
185	2.51	phlogopite	10	3	1.11	-
186	2.48	profusely	9	3	2.98	inflected
187	2.48	punctured	9	2	2.98	inflected
188	2.45	plundered	9	2	2.95	inflected
189	2.44	perfumed	8	2	2.64	inflected
190	2.35	paneled	7	2	2.55	inflected
191	2.33	pillaged	8	2	2.53	inflected
192	2.25	payables	8	3	2.05	inflected
193	2.25	pierre	6	2	3.95	proper-noun
194	2.21	proofed	7	1	2.41	inflected
195	2.2	peeved	6	1	2.4	inflected
196	2.2	persisting	10	3	2.7	inflected
197	2.19	perturbed	9	2	2.69	inflected
198	2.19	powell	6	2	3.89	proper-noun
199	2.14	peopled	7	2	2.34	inflected
200	2.13	pittsburgh	10	2	4.13	proper-noun
201	2.12	pestering	9	3	2.62	inflected
202	2.12	porcupines	10	3	2.22	inflected
203	2.11	papering	8	3	1.91	inflected
204	2.1	proscribed	10	2	2.6	inflected
205	2.08	pitt	4	1	3.78	proper-noun
206	2.06	pooler	6	2	1.86	inflected
207	1.98	pledger	7	2	1.78	inflected
208	1.97	porker	6	2	1.77	inflected
209	1.96	percy	5	2	3.66	proper-noun
210	1.92	pete	4	1	4.12	not-in-dict
211	1.87	perversely	10	3	2.37	inflected
212	1.86	perjurer	8	3	1.66	inflected
213	1.85	princeton	9	2	3.85	proper-noun
214	1.83	paster	6	2	1.63	inflected
215	1.81	pillared	8	2	2.01	inflected
216	1.81	porto	5	2	3.51	proper-noun
217	1.81	pruner	6	2	1.61	inflected
218	1.78	pauline	7	2	3.48	proper-noun
219	1.72	papua	5	3	3.42	proper-noun
220	1.72	prescott	8	2	3.42	proper-noun
221	1.71	paterson	8	3	3.41	proper-noun
222	1.7	petersburg	10	3	3.7	proper-noun
223	1.69	piously	7	3	1.89	inflected
224	1.68	piddling	8	2	1.88	inflected
225	1.68	pleasingly	10	3	2.18	inflected
226	1.66	persia	6	2	3.36	proper-noun
227	1.65	peterson	8	3	3.85	not-in-dict
228	1.64	prima	5	2	3.34	proper-noun
229	1.63	permitted	9	3	4.13	not-in-dict
230	1.61	potomac	7	3	3.31	proper-noun
231	1.58	parisian	8	3	3.28	proper-noun
232	1.58	penalties	9	3	4.08	not-in-dict
233	1.57	presley	7	2	3.27	proper-noun
234	1.56	paulo	5	2	3.76	not-in-dict
235	1.56	prix	4	1	3.76	not-in-dict
236	1.56	prussian	8	2	3.26	proper-noun
237	1.55	patzer	6	2	1.35	inflected
238	1.55	pedro	5	2	3.75	not-in-dict
239	1.54	payne	5	1	3.74	not-in-dict
240	1.53	pearson	7	2	3.73	not-in-dict
241	1.53	polk	4	1	3.23	proper-noun
242	1.47	paine	5	1	3.17	proper-noun
243	1.46	paxton	6	2	3.16	proper-noun
244	1.46	perez	5	2	3.66	not-in-dict
245	1.44	pouter	6	2	1.24	inflected
246	1.43	pisa	4	2	3.13	proper-noun
247	1.43	porte	5	1	3.13	proper-noun
248	1.43	pradesh	7	2	3.63	not-in-dict
249	1.42	pontiac	7	3	3.12	proper-noun
250	1.41	precooked	9	2	1.91	inflected
251	1.4	peshawar	8	3	3.1	proper-noun
252	1.4	primly	6	2	1.6	inflected
253	1.4	pullman	7	2	3.1	proper-noun
254	1.39	pinot	5	2	3.09	proper-noun
255	1.37	pembroke	8	2	3.07	proper-noun
256	1.36	pinstriped	10	2	1.86	inflected
257	1.35	perturbing	10	3	1.85	inflected
258	1.35	phelps	6	1	3.55	not-in-dict
259	1.35	philippe	8	3	3.55	not-in-dict
260	1.34	pdf	3	3	3.84	not-in-dict
261	1.34	provence	8	2	3.04	proper-noun
262	1.34	purcell	7	2	3.04	proper-noun
263	1.33	parrish	7	2	3.03	proper-noun
264	1.32	planck	6	1	3.02	proper-noun
265	1.3	pompey	6	2	3.0	proper-noun
266	1.3	potholed	8	2	1.5	inflected
267	1.3	preexist	8	3	0.0	-
268	1.29	patel	5	2	3.49	not-in-dict
269	1.27	paso	4	2	3.47	not-in-dict
270	1.25	parnell	7	2	2.95	proper-noun
271	1.25	pearce	6	1	3.45	not-in-dict
272	1.25	penang	6	2	2.95	proper-noun
273	1.24	parceling	9	2	1.34	inflected
274	1.22	plano	5	2	2.92	proper-noun
275	1.21	parkinson	9	3	3.21	proper-noun
276	1.21	pcs	3	2	3.71	not-in-dict
277	1.21	prob	4	1	3.41	not-in-dict
278	1.21	pvc	3	3	3.21	proper-noun
279	1.2	porn	4	1	4.5	vulgar
280	1.2	pos	3	1	3.7	not-in-dict
281	1.19	patterson	9	3	3.69	not-in-dict
282	1.19	pickett	7	2	2.89	proper-noun
283	1.18	purdue	6	2	3.38	not-in-dict
284	1.16	pelosi	6	3	3.36	not-in-dict
285	1.16	provo	5	2	2.86	proper-noun
286	1.15	pilate	6	2	2.85	proper-noun
287	1.14	platte	6	1	2.84	proper-noun
288	1.14	plays	5	1	4.84	not-in-dict,inflected
289	1.14	poole	5	1	3.34	not-in-dict
290	1.13	phyllis	7	2	3.33	not-in-dict
291	1.13	potsdam	7	2	2.83	proper-noun
292	1.12	pelham	6	2	2.82	proper-noun
293	1.12	pliny	5	2	2.82	proper-noun
294	1.11	palo	4	2	3.31	not-in-dict
295	1.11	pawnee	6	2	2.81	proper-noun
296	1.11	pga	3	3	3.61	not-in-dict
297	1.11	putnam	6	2	3.31	not-in-dict
298	1.11	pyongyang	9	2	3.11	proper-noun
299	1.1	pasteur	7	2	2.8	proper-noun
300	1.09	palin	5	2	3.29	not-in-dict
301	1.09	ponies	6	2	3.29	not-in-dict
302	1.09	pooh	4	1	3.29	not-in-dict
303	1.08	prem	4	1	3.28	not-in-dict
304	1.08	proust	6	1	2.78	proper-noun
305	1.07	peirce	6	1	2.77	proper-noun
306	1.07	petra	5	2	3.27	not-in-dict
307	1.06	padua	5	3	2.76	proper-noun
308	1.06	paton	5	2	2.76	proper-noun
309	1.03	pussies	7	2	3.23	not-in-dict
310	1.02	prozac	6	2	2.72	proper-noun
311	1.02	pushkin	7	2	2.72	proper-noun
312	1.01	purest	6	2	3.21	not-in-dict
313	1.0	patti	5	2	3.2	not-in-dict
314	1.0	pei	3	1	3.0	proper-noun
315	1.0	platelike	9	2	0.0	-
316	1.0	prearrange	10	3	0.0	-
317	1.0	predestine	10	3	0.0	-
318	1.0	preordain	9	3	0.0	-
319	0.99	paget	5	2	2.69	proper-noun
320	0.99	peta	4	2	3.19	not-in-dict
321	0.99	primaries	9	3	3.49	not-in-dict
322	0.98	pliocene	8	3	2.68	proper-noun
323	0.98	prepping	8	2	3.18	not-in-dict
324	0.98	propelled	9	2	3.48	not-in-dict
325	0.96	pauli	5	2	2.66	proper-noun
326	0.96	permitting	10	3	3.46	not-in-dict
327	0.96	pixar	5	2	3.16	not-in-dict
328	0.95	petersen	8	3	3.15	not-in-dict
329	0.94	pont	4	1	3.14	not-in-dict
330	0.94	pussy	5	2	4.24	vulgar
331	0.93	peugeot	7	2	3.13	not-in-dict
332	0.93	protestors	10	3	3.43	not-in-dict
333	0.91	pavel	5	2	3.11	not-in-dict
334	0.91	pavlov	6	2	2.61	proper-noun
335	0.91	pfizer	6	2	3.11	not-in-dict
336	0.91	plugging	8	2	3.11	not-in-dict
337	0.91	puccini	7	3	2.61	proper-noun
338	0.9	patrice	7	2	3.1	not-in-dict
339	0.9	paulie	6	2	3.1	not-in-dict
340	0.9	payton	6	2	3.1	not-in-dict
341	0.9	pell	4	1	3.1	not-in-dict
342	0.87	piss	4	1	4.17	vulgar
343	0.86	platt	5	1	3.06	not-in-dict
344	0.86	portman	7	2	3.06	not-in-dict
345	0.86	puig	4	1	3.06	not-in-dict
346	0.85	pincus	6	2	2.55	proper-noun
347	0.85	prasad	6	2	3.05	not-in-dict
348	0.85	prius	5	2	3.05	not-in-dict
349	0.85	puebla	6	2	2.55	proper-noun
350	0.84	pentecost	9	3	2.84	proper-noun
351	0.83	paducah	7	3	2.53	proper-noun
352	0.83	parton	6	2	3.03	not-in-dict
353	0.83	pietro	6	3	3.03	not-in-dict
354	0.83	pointe	6	1	3.03	not-in-dict
355	0.83	puts	4	1	4.53	not-in-dict,inflected
356	0.82	panned	6	1	3.02	not-in-dict
357	0.82	pius	4	2	3.02	not-in-dict
358	0.81	parma	5	2	3.01	not-in-dict
359	0.81	paulson	7	2	3.01	not-in-dict
360	0.81	pickford	8	2	2.51	proper-noun
361	0.81	piero	5	2	3.01	not-in-dict
362	0.81	pizarro	7	3	2.51	proper-noun
363	0.81	purposes	8	3	4.51	not-in-dict,inflected
364	0.8	padilla	7	3	3.0	not-in-dict
365	0.8	pierson	7	2	3.0	not-in-dict
366	0.79	prettiest	9	3	3.29	not-in-dict
367	0.78	petri	5	2	2.98	not-in-dict
368	0.78	phnom	5	1	2.98	not-in-dict
369	0.78	puget	5	2	2.98	not-in-dict
370	0.77	petrie	6	2	2.97	not-in-dict
371	0.77	poppins	7	2	2.97	not-in-dict
372	0.75	passes	6	2	4.45	not-in-dict,inflected
373	0.75	penis	5	2	4.05	vulgar
374	0.75	purim	5	2	2.45	proper-noun
375	0.74	pena	4	2	2.94	not-in-dict
376	0.74	petro	5	2	2.94	not-in-dict
377	0.74	phipps	6	1	2.94	not-in-dict
378	0.73	penh	4	1	2.93	not-in-dict
379	0.73	pereira	7	3	2.93	not-in-dict
380	0.73	ponzi	5	2	2.93	not-in-dict
381	0.73	proudest	8	2	2.93	not-in-dict
382	0.73	pugh	4	1	2.93	not-in-dict
383	0.73	punta	5	2	2.93	not-in-dict
384	0.72	peralta	7	3	2.92	not-in-dict
385	0.72	philippi	8	3	2.42	proper-noun
386	0.72	pilsner	7	2	2.42	proper-noun
387	0.72	posey	5	2	2.92	not-in-dict
388	0.71	patterns	8	2	4.41	not-in-dict,inflected
389	0.71	percival	8	3	2.91	not-in-dict
390	0.71	petr	4	2	2.91	not-in-dict
391	0.71	podesta	7	3	2.91	not-in-dict
392	0.71	prepped	7	1	2.91	not-in-dict
393	0.71	presents	8	2	4.41	not-in-dict,inflected
394	0.71	primetime	9	2	3.21	not-in-dict
395	0.7	palais	6	2	2.9	not-in-dict
396	0.7	philipp	7	2	2.9	not-in-dict
397	0.7	philo	5	2	2.9	not-in-dict
398	0.7	procter	7	2	2.9	not-in-dict
399	0.69	phoenician	10	3	2.69	proper-noun
400	0.69	poirot	6	2	2.89	not-in-dict
401	0.69	pomona	6	3	2.89	not-in-dict
402	0.69	poppies	7	2	2.89	not-in-dict
403	0.69	priestley	9	2	2.69	proper-noun
404	0.69	puglia	6	3	2.39	proper-noun
405	0.68	performed	9	2	4.68	not-in-dict,inflected
406	0.68	peron	5	2	2.38	proper-noun
407	0.68	plata	5	2	2.88	not-in-dict
408	0.68	portia	6	2	2.88	not-in-dict
409	0.68	pulaski	7	3	2.88	not-in-dict
410	0.67	paye	4	1	2.37	proper-noun
411	0.67	pepin	5	2	2.37	proper-noun
412	0.67	piaget	6	3	2.37	proper-noun
413	0.67	pritchard	9	2	3.17	not-in-dict
414	0.67	pruitt	6	2	2.87	not-in-dict
415	0.66	parthenon	9	3	2.66	proper-noun
416	0.66	phoebus	7	2	2.36	proper-noun
417	0.66	plummer	7	2	2.86	not-in-dict
418	0.65	pollux	6	2	2.35	proper-noun
419	0.65	ppm	3	3	3.15	not-in-dict
420	0.65	prado	5	2	2.85	not-in-dict
421	0.65	prakash	7	2	2.85	not-in-dict
422	0.64	pathan	6	2	2.34	proper-noun
423	0.64	physio	6	3	2.84	not-in-dict
424	0.64	posner	6	2	2.84	not-in-dict
425	0.64	pryce	5	1	2.84	not-in-dict
426	0.63	periods	7	3	4.33	not-in-dict,inflected
427	0.63	perrin	6	2	2.83	not-in-dict
428	0.63	pomeroy	7	3	2.83	not-in-dict
429	0.63	priam	5	2	2.33	proper-noun
430	0.63	prophecies	10	3	3.13	not-in-dict
431	0.62	poitier	7	2	2.32	proper-noun
432	0.62	priscilla	9	3	3.12	not-in-dict
433	0.62	purdy	5	2	2.82	not-in-dict
434	0.62	puri	4	2	2.82	not-in-dict
435	0.61	penney	6	2	2.81	not-in-dict
436	0.61	pero	4	2	2.81	not-in-dict
437	0.61	plunkett	8	2	2.81	not-in-dict
438	0.61	pompeo	6	3	2.81	not-in-dict
439	0.6	pandey	6	2	2.8	not-in-dict
440	0.6	pao	3	1	3.1	not-in-dict
441	0.6	pease	5	1	2.8	not-in-dict
442	0.6	pendleton	9	3	3.1	not-in-dict
443	0.6	pernod	6	2	2.3	proper-noun
444	0.6	pittsfield	10	2	2.6	proper-noun
445	0.59	poolside	8	2	2.79	not-in-dict
446	0.59	presse	6	1	2.79	not-in-dict
447	0.59	pri	3	1	3.09	not-in-dict
448	0.58	parc	4	1	2.78	not-in-dict
449	0.58	pedersen	8	3	2.78	not-in-dict
450	0.58	philippa	8	3	2.78	not-in-dict
451	0.58	priori	6	3	2.78	not-in-dict
452	0.57	parte	5	1	2.77	not-in-dict
453	0.57	parti	5	2	2.77	not-in-dict
454	0.57	pittman	7	2	2.77	not-in-dict
455	0.57	potemkin	8	3	2.27	proper-noun
456	0.56	paley	5	2	2.76	not-in-dict
457	0.56	parke	5	1	2.76	not-in-dict
458	0.56	poisson	7	2	2.76	not-in-dict
459	0.56	poussin	7	2	2.26	proper-noun
460	0.55	peckham	7	2	2.75	not-in-dict
461	0.55	ponte	5	1	2.75	not-in-dict
462	0.55	preterm	7	2	2.75	not-in-dict
463	0.54	penrose	7	2	2.74	not-in-dict
464	0.54	pinochet	8	3	2.74	not-in-dict
465	0.54	poli	4	2	2.74	not-in-dict
466	0.54	pravda	6	2	2.74	not-in-dict
467	0.53	parthian	8	3	2.23	proper-noun
468	0.53	pere	4	1	2.73	not-in-dict
469	0.52	paulina	7	3	2.72	not-in-dict
470	0.52	phelan	6	2	2.72	not-in-dict
471	0.51	paulsen	7	2	2.71	not-in-dict
472	0.5	parana	6	3	2.2	proper-noun
473	0.5	peary	5	2	2.2	proper-noun
474	0.5	pointing	8	2	4.2	not-in-dict,inflected
475	0.5	pusan	5	2	2.2	proper-noun
476	0.49	pancho	6	2	2.69	not-in-dict
477	0.49	penske	6	2	2.69	not-in-dict
478	0.49	polanski	8	3	2.69	not-in-dict
479	0.49	prentiss	8	2	2.69	not-in-dict
480	0.49	produces	8	3	4.19	not-in-dict,inflected
481	0.49	publix	6	2	2.69	not-in-dict
482	0.48	pasco	5	2	2.68	not-in-dict
483	0.48	pauly	5	2	2.68	not-in-dict
484	0.48	pina	4	2	2.68	not-in-dict
485	0.48	pirelli	7	3	2.68	not-in-dict
486	0.48	pupils	6	2	4.18	not-in-dict,inflected
487	0.47	porky	5	2	2.67	not-in-dict
488	0.47	pullin	6	2	2.67	not-in-dict
489	0.46	parkin	6	2	2.66	not-in-dict
490	0.46	pino	4	2	2.66	not-in-dict
491	0.46	processes	9	3	4.46	not-in-dict,inflected
492	0.45	parra	5	2	2.65	not-in-dict
493	0.45	pascoe	6	2	2.65	not-in-dict
494	0.45	pasquale	8	3	2.65	not-in-dict
495	0.45	pham	4	1	2.65	not-in-dict
496	0.45	pineda	6	3	2.65	not-in-dict
497	0.44	pederson	8	3	2.64	not-in-dict
498	0.44	phan	4	1	2.64	not-in-dict
499	0.43	papier	6	2	2.63	not-in-dict
500	0.43	pattison	8	3	2.63	not-in-dict
501	0.43	peele	5	1	2.63	not-in-dict
502	0.43	pocono	6	3	2.63	not-in-dict
503	0.43	purvis	6	2	2.63	not-in-dict
504	0.43	pusey	5	2	2.13	proper-noun
505	0.42	passaic	7	3	2.62	not-in-dict
506	0.42	pasternak	9	3	2.42	proper-noun
507	0.42	pilots	6	2	4.12	not-in-dict,inflected
508	0.42	pocock	6	2	2.62	not-in-dict
509	0.41	parris	6	2	2.61	not-in-dict
510	0.41	pepsico	7	3	2.61	not-in-dict
511	0.41	plex	4	1	2.61	not-in-dict
512	0.41	primark	7	2	2.61	not-in-dict
513	0.4	paribas	7	3	2.6	not-in-dict
514	0.4	parsons	7	2	3.6	proper-noun,inflected
515	0.4	paterno	7	3	2.6	not-in-dict
516	0.4	patrolled	9	2	2.9	not-in-dict
517	0.4	pemberton	9	3	2.9	not-in-dict
518	0.4	penobscot	9	3	2.4	proper-noun
519	0.4	plessis	7	2	2.6	not-in-dict
520	0.4	plies	5	1	2.6	not-in-dict
521	0.39	pattinson	9	3	2.89	not-in-dict
522	0.39	peake	5	1	2.59	not-in-dict
523	0.39	perlman	7	2	2.59	not-in-dict
524	0.39	perot	5	2	2.59	not-in-dict
525	0.39	picchu	6	2	2.59	not-in-dict
526	0.38	pets	4	1	4.08	not-in-dict,inflected
527	0.38	plautus	7	2	2.08	proper-noun
528	0.38	poco	4	2	2.58	not-in-dict
529	0.38	prints	6	1	4.08	not-in-dict,inflected
530	0.37	palme	5	1	2.57	not-in-dict
531	0.37	parnassus	9	3	2.37	proper-noun
532	0.37	persson	7	2	2.57	not-in-dict
533	0.37	petey	5	2	2.57	not-in-dict
534	0.37	piet	4	1	2.57	not-in-dict
535	0.37	pocus	5	2	2.57	not-in-dict
536	0.36	pelle	5	1	2.56	not-in-dict
537	0.36	pentax	6	2	2.56	not-in-dict
538	0.36	poppa	5	2	2.56	not-in-dict
539	0.35	paulette	8	2	2.55	not-in-dict
540	0.35	paulus	6	2	2.55	not-in-dict
541	0.35	pratap	6	2	2.55	not-in-dict
542	0.35	pura	4	2	2.55	not-in-dict
543	0.34	pegg	4	1	2.54	not-in-dict
544	0.34	pontius	7	3	2.54	not-in-dict
545	0.34	poulenc	7	2	2.04	proper-noun
546	0.34	prophets	8	2	3.54	proper-noun,inflected
547	0.33	phillips	8	2	4.03	not-in-dict,inflected
548	0.33	probst	6	1	2.53	not-in-dict
549	0.32	pinellas	8	3	2.52	not-in-dict
550	0.32	profs	5	1	2.52	not-in-dict
551	0.32	pygmalion	9	3	2.32	proper-noun
552	0.32	pyne	4	1	2.52	not-in-dict
553	0.31	palmdale	8	2	2.51	not-in-dict
554	0.31	pardo	5	2	2.51	not-in-dict
555	0.31	pitied	6	2	2.51	not-in-dict
556	0.31	prokofiev	9	3	2.31	proper-noun
557	0.31	provera	7	3	2.01	proper-noun
558	0.31	pulls	5	1	4.01	not-in-dict,inflected
559	0.3	poirier	7	3	2.5	not-in-dict
560	0.3	popovich	8	3	2.5	not-in-dict
561	0.3	praeger	7	2	2.5	not-in-dict
562	0.3	prick	5	1	3.6	vulgar
563	0.29	pagano	6	3	2.49	not-in-dict
564	0.29	paramore	8	3	2.49	not-in-dict
565	0.29	pigs	4	1	3.99	not-in-dict,inflected
566	0.29	pires	5	1	2.49	not-in-dict
567	0.29	posters	7	2	3.99	not-in-dict,inflected
568	0.29	puente	6	1	2.49	not-in-dict
569	0.28	pattie	6	2	2.48	not-in-dict
570	0.28	payson	6	2	2.48	not-in-dict
571	0.28	pender	6	2	2.48	not-in-dict
572	0.28	perera	6	3	2.48	not-in-dict
573	0.28	pittsburg	9	2	2.78	not-in-dict
574	0.28	plainfield	10	2	2.78	not-in-dict
575	0.28	puckett	7	2	2.48	not-in-dict
576	0.27	peale	5	1	2.47	not-in-dict
577	0.27	peet	4	1	2.47	not-in-dict
578	0.27	penta	5	2	2.47	not-in-dict
579	0.27	pippen	6	2	2.47	not-in-dict
580	0.27	popov	5	2	2.47	not-in-dict
581	0.27	pritzker	8	2	2.47	not-in-dict
582	0.27	pucci	5	2	2.47	not-in-dict
583	0.26	passat	6	2	2.46	not-in-dict
584	0.26	pera	4	2	2.46	not-in-dict
585	0.26	pil	3	1	2.76	not-in-dict
586	0.26	pirie	5	2	2.46	not-in-dict
587	0.26	poss	4	1	2.46	not-in-dict
588	0.25	parrott	7	2	2.45	not-in-dict
589	0.25	perc	4	1	2.45	not-in-dict
590	0.25	perce	5	1	2.45	not-in-dict
591	0.25	petsmart	8	2	2.45	not-in-dict
592	0.25	phoenicia	9	3	2.25	proper-noun
593	0.25	pickwick	8	2	2.45	not-in-dict
594	0.25	pinckney	8	2	2.45	not-in-dict
595	0.25	piraeus	7	3	2.45	not-in-dict
596	0.25	portillo	8	3	2.45	not-in-dict
597	0.25	prophesied	10	3	2.75	not-in-dict
598	0.24	parkman	7	2	2.44	not-in-dict
