word	pos	proper
panther	n	0
panthera	n	1
pantie	n	0
pantile	n	0
panting	n	0
panto	n	0
pantograph	n	0
pantomime	nv	0
pantomimer	n	0
pantothen	n	0
pantropic	a	0
pantry	n	0
pantryman	n	0
pants	n	0
pantsuit	n	0
panty	n	0
pantyhose	n	0
pantywaist	n	0
panzer	n	0
pap	n	0
papa	n	0
papacy	n	0
papaia	n	0
papain	n	0
papal	a	0
paparazzo	n	0
papaver	n	1
papaverine	n	0
papaw	n	0
papaya	n	0
papeete	n	1
paper	nv	0
paperback	an	0
paperboard	n	0
paperboy	n	0
paperclip	n	0
paperer	n	0
papering	n	0
paperknife	n	0
paperlike	a	0
papers	n	0
paperwork	n	0
papery	a	0
papilla	n	0
papillary	a	0
papillate	a	0
papilloma	n	0
papillon	n	0
papillose	a	0
papio	n	1
papism	n	0
papist	an	0
papistic	a	0
papistical	a	0
papoose	n	0
pappa	n	0
pappoose	n	0
pappose	a	0
pappus	n	0
paprika	n	0
paprilus	n	1
papua	n	1
papuan	an	1
papule	n	0
papyrus	n	0
par	nv	0
para	n	0
parable	n	0
parabola	n	0
parabolic	a	0
paraboloid	n	0
paracelsus	n	1
parachute	nv	0
parachuter	n	0
paraclete	n	1
paracosm	n	0
parade	nv	0
parader	n	0
paradiddle	n	0
paradigm	n	0
paradisaic	a	0
paradisal	a	0
paradise	n	0
paradisiac	a	0
paradox	n	0
paraffin	n	0
parafovea	n	0
paragon	n	0
paragonite	n	0
paragraph	nv	0
paraguay	n	1
paraguayan	an	1
parakeet	n	0
paralegal	n	0
paralepsis	n	0
paralipsis	n	0
parallax	n	0
parallel	anv	0
paralogism	n	0
paralyse	v	0
paralysis	n	0
paralytic	an	0
paralyze	v	0
paralyzed	a	0
paramagnet	n	0
paramaribo	n	1
paramecia	n	0
paramecium	n	0
paramedic	n	0
parameter	n	0
parametric	a	0
paramnesia	n	0
paramount	a	0
paramour	n	0
parana	n	1
paranasal	a	0
parang	n	0
paranoia	n	0
paranoiac	n	0
paranoid	an	0
paranormal	a	0
paranthias	n	1
parapet	n	0
paraph	n	0
paraphilia	n	0
paraphrase	nv	0
paraphysis	n	0
paraplegia	n	0
paraplegic	an	0
parapodium	n	0
parapraxis	n	0
paraquat	n	0
paraquet	n	0
parasail	n	0
parasite	n	0
parasitic	a	0
parasitism	n	0
parasol	n	0
parathion	n	0
paratroops	n	0
parazoa	n	1
parazoan	n	0
parboil	v	0
parcae	n	1
parcel	nv	0
parceling	n	0
parcelling	n	0
parch	v	0
parched	a	0
parcheesi	n	1
parchesi	n	0
parchisi	n	0
parchment	n	0
pardner	n	0
pardon	nv	0
pardonable	a	0
pardonably	r	0
pardoner	n	0
pare	v	0
paregmenon	n	0
paregoric	n	0
parenchyma	n	0
parent	nv	0
parentage	n	0
parental	a	0
parentally	r	0
parented	a	0
parenteral	a	0
parenthood	n	0
parentless	a	0
parer	n	0
paresis	n	0
paretic	n	0
pareto	n	1
pareve	a	0
parfait	n	0
parget	nv	0
pargeting	n	0
pargetry	n	0
pargetting	n	0
parhelic	a	0
parhelion	n	0
pariah	n	0
paridae	n	1
paries	n	0
parietal	a	0
parietales	n	1
parietaria	n	1
parimutuel	n	0
paring	n	0
paris	n	1
parish	n	0
parisian	an	1
parisienne	n	1
parisology	n	0
parity	n	0
parjanya	n	1
parji	n	1
park	nv	0
parka	n	0
parked	a	0
parker	n	1
parkia	n	1
parking	n	0
parkinson	n	1
parkland	n	0
parks	n	1
parkway	n	0
parky	a	0
parlance	n	0
parlay	nv	0
parley	nv	0
parliament	n	0
parlor	n	0
parlormaid	n	0
parlour	n	0
parlous	a	0
parmelia	n	1
parmenides	n	1
parmesan	n	1
parnahiba	n	1
parnaiba	n	1
parnassia	n	0
parnassus	n	1
parnell	n	1
parochetus	n	1
parochial	a	0
parodist	n	0
parody	nv	0
paroicous	a	0
parole	nv	0
parolee	n	0
paronychia	n	0
paronym	n	0
parophrys	n	1
paroquet	n	0
parosamia	n	0
parotid	a	0
parotitis	n	0
parous	a	0
parousia	n	1
paroxetime	n	0
paroxysm	n	0
paroxysmal	a	0
paroxytone	n	0
parquet	n	0
parquetry	n	0
parr	n	0
parrakeet	n	0
parricide	n	0
parrish	n	1
parroket	n	0
parroquet	n	0
parrot	nv	0
parrotfish	n	0
parrotia	n	1
parrotlike	a	0
parry	nv	0
parse	v	0
parsec	n	0
parsee	n	1
parseeism	n	1
parser	n	0
parsi	n	1
parsiism	n	1
parsimony	n	0
parsley	n	0
parsnip	n	0
parson	n	0
parsonage	n	0
parsons	n	1
part	nrv	0
partake	v	0
partaker	n	0
parted	a	0
parterre	n	0
parthenium	n	1
parthenon	n	1
parthenote	n	0
parthia	n	1
parthian	an	1
partial	an	0
partiality	n	0
partially	r	0
partible	a	0
participle	n	0
particle	n	0
particular	an	0
parting	n	0
partisan	an	0
partita	n	0
partition	nv	0
partitive	an	0
partizan	an	0
partly	r	0
partner	nv	0
partridge	n	0
parts	n	0
partsong	n	0
parttime	r	0
parturient	a	0
party	nv	0
partygoer	n	0
parula	n	1
parulidae	n	1
parus	n	1
parvati	n	1
parve	a	0
parvenu	an	0
parvenue	a	0
parvis	n	0
parvo	n	0
parvovirus	n	0
pas	n	0
pasadena	n	1
pasang	n	0
pascal	n	0
pasch	n	1
pascha	n	1
paschal	a	0
paseo	n	0
pasha	n	0
pashto	n	1
pashtoon	n	1
pashtu	n	1
pashtun	n	1
pasigraphy	n	1
pasiphae	n	1
paspalum	n	0
pasquinade	n	0
pass	nv	0
passable	a	0
passably	r	0
passado	n	0
passage	n	0
passageway	n	0
passbook	n	0
passe	a	0
passee	a	0
passel	n	0
passenger	n	0
passer	n	0
passerby	n	0
passeres	n	1
passeridae	n	1
passerina	n	1
passerine	an	0
passero	n	1
passiflora	n	1
passim	r	0
passing	anr	0
passion	n	0
passionate	a	0
passive	an	0
passively	r	0
passivism	n	0
passivity	n	0
passkey	n	0
passover	n	1
passport	n	0
password	n	0
past	anr	0
pasta	n	0
paste	nv	0
pasteboard	n	0
pasted	a	0
pastel	an	0
pastelike	a	0
paster	n	0
pastern	n	0
pasternak	n	1
pasteur	n	1
pasteurian	a	1
pasteurise	v	0
pasteurize	v	0
pastiche	n	0
pastil	n	0
pastille	n	0
pastime	n	0
pastinaca	n	1
pastis	n	0
pastness	n	0
pasto	n	1
pastor	n	0
pastoral	an	0
pastorale	n	0
pastorate	n	0
pastorship	n	0
pastrami	n	0
pastry	n	0
pasturage	n	0
pasture	nv	0
pasty	an	0
pat	anrv	0
pataca	n	0
patagonia	n	1
patas	n	0
patavium	n	1
patch	nv	0
patchboard	n	0
patchcord	n	0
patched	a	0
patchily	r	0
patchiness	n	0
patching	n	0
patchouli	n	0
patchouly	n	0
patchwork	n	0
patchy	a	0
pate	n	0
patella	n	0
patellar	a	0
patellidae	n	1
patency	n	0
patent	anv	0
patented	a	0
patentee	n	0
patently	r	0
pater	n	0
paternal	a	0
paternally	r	0
paternity	n	0
paterson	n	1
path	n	0
pathan	n	1
pathetic	a	0
pathfinder	n	0
pathless	a	0
pathogen	n	0
pathogenic	a	0
pathologic	a	0
pathology	n	0
pathos	n	0
pathway	n	0
patience	n	0
patient	an	0
patiently	r	0
patina	n	0
patinate	v	0
patinise	v	0
patinize	v	0
patio	n	0
patisserie	n	0
patka	n	0
patness	n	0
patois	n	0
paton	n	1
patrai	n	1
patras	n	1
patrial	n	0
patriarch	n	0
patriarchy	n	0
patrician	an	0
patricide	n	0
patrick	n	1
patrikin	n	0
patrimony	n	0
patriot	n	0
patrioteer	n	0
patriotic	a	0
patriotism	n	0
patrisib	n	0
patristic	a	0
patristics	n	0
patroclus	n	1
patrol	nv	0
patroller	n	0
patrolman	n	0
patrology	n	0
patron	n	0
patronage	nv	0
patroness	n	0
patronise	v	0
patronised	a	0
patronize	v	0
patronized	a	0
patronless	a	0
patronne	n	0
patronym	n	0
patronymic	an	0
patsy	n	0
patten	n	0
patter	nv	0
pattern	nv	0
patterned	a	0
patty	n	0
patwin	n	1
patzer	n	0
paucity	n	0
paul	n	1
pauli	n	1
pauline	a	1
pauling	n	1
paunch	n	0
paunchy	a	0
pauper	n	0
pauperise	v	0
pauperism	n	0
pauperize	v	0
pauropoda	n	1
pause	nv	0
pavage	n	0
pavan	n	0
pavane	n	0
pavarotti	n	1
pave	nv	0
paved	a	0
pavement	n	0
pavilion	n	0
paving	n	0
pavior	n	0
paviour	n	0
pavis	n	0
pavise	n	0
pavlov	n	1
pavlova	n	0
pavlovian	a	1
pavo	n	1
pavonia	n	0
paw	nv	0
pawer	n	0
pawky	a	0
pawl	n	0
pawn	nv	0
pawnbroker	n	0
pawnee	n	1
pawnshop	n	0
pawpaw	n	0
pax	n	0
paxil	n	1
paxto	n	1
paxton	n	1
pay	nv	0
payable	an	0
payables	n	0
payback	n	0
paycheck	n	0
payday	n	0
paye	n	1
payee	n	0
payena	n	1
payer	n	0
paygrade	n	0
paying	a	0
payload	n	0
paymaster	n	0
payment	n	0
paynim	n	0
payoff	n	0
payola	n	0
payroll	n	0
paysheet	n	0
payslip	n	0
pb	n	1
pbit	n	1
pbs	n	1
pc	n	1
pcp	n	1
pct	n	0
pd	n	1
pda	n	1
pdflp	n	1
pdl	n	0
pe	n	0
pea	n	0
peabody	n	1
peace	n	0
peaceable	a	0
peaceably	r	0
peaceful	a	0
peacefully	r	0
peacemaker	n	0
peacenik	n	0
peacetime	n	0
peach	nv	0
peachick	n	0
peachwood	n	0
peachy	a	0
peacoat	n	0
peacock	n	0
peafowl	n	0
peag	n	0
peahen	n	0
peak	nv	0
peaked	a	0
peaky	a	0
peal	nv	0
pealing	n	0
pean	n	0
peanut	an	0
peanuts	n	0
pear	n	0
pearl	nv	0
pearler	n	0
pearlfish	n	0
pearlite	n	0
pearlweed	n	0
pearlwort	n	0
pearly	an	0
pearmain	n	1
peary	n	1
peasant	n	0
peasantry	n	0
peasecod	n	0
peat	n	0
peaty	a	0
peavey	n	0
peavy	n	0
peba	n	0
pebble	n	0
pebbly	a	0
pebibit	n	0
pebibyte	n	0
pecan	n	0
peccable	a	0
peccadillo	n	0
peccant	a	0
peccary	n	0
peck	nv	0
pecker	n	0
peckerwood	n	0
peckish	a	0
pecopteris	n	0
pecos	n	1
pecs	n	0
pectic	a	0
pectin	n	0
pectinate	a	0
pectineal	a	0
pectinidae	n	1
pectoral	an	0
pectoralis	n	0
pectus	n	0
peculate	v	0
peculation	n	0
peculator	n	0
peculiar	a	0
peculiarly	r	0
pecuniary	a	0
pedagog	n	0
pedagogic	a	0
pedagogics	n	0
pedagogue	n	0
pedagogy	n	0
pedal	anv	0
pedaler	n	0
pedaller	n	0
pedant	n	0
pedantic	a	0
pedantry	n	0
pedate	a	0
peddle	v	0
peddler	n	0
peddling	n	0
pederast	n	0
pederastic	a	0
pederasty	n	0
pedesis	n	0
pedestal	n	0
pedestrian	an	0
pediamycin	n	1
pediapred	n	1
pediatric	a	0
pediatrics	n	0
pediatrist	n	0
pedicab	n	0
pedicel	n	0
pedicle	n	0
pediculati	n	1
pediculus	n	1
pedicure	nv	0
pedigree	n	0
pedigreed	a	0
pediment	n	0
pedionomus	n	1
pedipalpi	n	1
pedlar	n	0
pedology	n	0
pedometer	n	0
pedophile	n	0
pedophilia	n	0
peduncle	n	0
pedwood	n	0
pee	nv	0
peeing	n	0
peek	nv	0
peekaboo	n	0
peel	nv	0
peeled	a	0
peeler	n	0
peeling	n	0
peen	n	0
peep	nv	0
peeper	n	0
peephole	n	0
peepshow	n	0
peepul	n	0
peer	nv	0
peerage	n	0
peeress	n	0
peerless	a	0
peeve	nv	0
peeved	a	0
peevish	a	0
peevishly	r	0
peewee	n	0
peewit	n	0
peg	nv	0
pegasus	n	1
pegboard	n	0
pegleg	n	0
pegmatite	n	0
pehlevi	n	1
pei	n	1
peignoir	n	0
peiping	n	1
peirce	n	1
peireskia	n	1
pejorative	a	0
pekan	n	0
peke	n	1
pekinese	n	1
peking	n	1
pekingese	n	1
pekoe	n	0
pel	n	0
pelage	n	0
pelagic	a	0
pelagius	n	1
pelecanus	n	1
pelecypod	an	0
peleus	n	1
pelew	n	1
pelf	n	0
pelham	n	1
pelican	n	0
peliosis	n	0
pelisse	n	0
pellaea	n	1
pellagra	n	0
pellet	n	0
pellicle	n	0
pellitory	n	0
pellucid	a	0
pellucidly	r	0
pelmet	n	0
pelota	n	0
pelt	nv	0
peltandra	n	1
peltate	a	0
pelter	n	0
pelting	n	0
peludo	n	0
pelvic	a	0
pelvimeter	n	0
pelvimetry	n	0
pelvis	n	0
pelycosaur	n	0
pembroke	n	1
pemican	n	0
pemmican	n	0
pemphigous	a	0
pemphigus	n	0
pen	nv	0
penal	a	0
penalise	v	0
penalize	v	0
penally	r	0
penalty	n	0
penance	n	0
penang	n	1
penchant	n	0
pencil	nv	0
penciled	a	0
pencilled	a	0
pendant	an	0
pendent	an	0
pending	a	0
pendragon	n	0
pendulous	a	0
pendulum	n	0
peneidae	n	1
penelope	n	1
peneplain	n	0
peneplane	n	0
penetrable	a	0
penetrate	v	0
penetrator	n	0
peneus	n	1
pengo	n	0
penguin	n	0
penial	a	0
penicillin	n	0
penile	a	0
peninsula	n	0
peninsular	a	0
penis	n	0
penitence	n	0
penitent	an	0
penitently	r	0
penknife	n	0
penlight	n	0
penman	n	0
penmanship	n	0
penn	n	1
pennant	n	0
pennate	a	0
pennatula	n	1
penne	n	0
penni	n	0
penniless	a	0
pennines	n	1
penning	n	0
pennisetum	n	1
pennon	n	0
pennoncel	n	0
penny	n	0
pennycress	n	0
pennyroyal	n	0
pennyworth	n	0
penobscot	n	1
penoche	n	0
penologist	n	0
penology	n	0
penoncel	n	0
penpusher	n	0
pensacola	n	1
pension	nv	0
pensionary	n	0
pensioner	n	0
pensive	a	0
pensively	r	0
penstemon	n	1
penstock	n	0
pent	a	0
pentacle	n	0
pentad	n	0
pentagon	n	0
pentagonal	a	0
pentagram	n	0
pentail	n	0
pentameter	n	0
pentangle	n	0
pentateuch	n	1
pentathlon	n	0
pentatone	n	0
pentatonic	a	0
pentecost	n	1
penthouse	n	0
pentimento	n	0
pentode	n	0
pentose	n	0
pentothal	n	1
pentoxide	n	0
penuche	n	0
penuchle	n	0
penult	n	0
penultima	n	0
penumbra	n	0
penumbral	a	0
penurious	a	0
penury	n	0
penutian	n	1
peon	n	0
peonage	n	0
peony	n	0
people	nv	0
peopled	a	0
peoples	n	0
peoria	n	1
pep	n	0
pepcid	n	1
peperomia	n	0
pepin	n	1
peplos	n	0
peplum	n	0
peplus	n	0
pepper	nv	0
peppercorn	n	0
pepperidge	n	0
peppermint	n	0
pepperoni	n	0
pepperwood	n	0
pepperwort	n	0
peppery	a	0
peppiness	n	0
peppy	a	0
pepsi	n	1
pepsin	n	0
pepsinogen	n	0
peptic	a	0
peptidase	n	0
peptide	n	0
peptise	v	0
peptize	v	0
peptone	n	0
pepys	n	1
perak	n	1
perca	n	1
percale	n	0
perceive	v	0
perceived	a	0
perceiver	n	0
percent	n	0
percentage	n	0
percentile	n	0
percept	n	0
perception	n	0
perceptive	a	0
perceptual	a	0
perch	nv	0
perchance	r	0
percher	n	0
percheron	n	1
percidae	n	1
percina	n	1
percipient	an	0
percoid	n	0
percoidea	n	1
percoidean	n	0
percolate	nv	0
percolator	n	0
percuss	v	0
percussion	n	0
percussive	a	0
percussor	n	0
percy	n	1
perdicidae	n	1
perdicinae	n	1
perdition	n	0
perdix	n	1
perdurable	a	0
peregrine	an	0
perejil	n	1
peremptory	a	0
perennate	v	0
perennial	an	0
pereskia	n	1
perfect	anv	0
perfecta	n	0
perfected	a	0
perfecter	n	0
perfection	n	0
perfective	n	0
perfectly	r	0
perfervid	a	0
perfidious	a	0
perfidy	n	0
perfoliate	a	0
perforate	av	0
perforated	a	0
perforce	r	0
perform	v	0
performer	n	0
performing	n	0
perfume	nv	0
perfumed	a	0
perfumer	n	0
perfumery	n	0
perfuse	v	0
perfusion	n	0
pergamum	n	1
pergola	n	0
perhaps	r	0
peri	n	0
periactin	n	1
perianal	a	0
perianth	n	0
periapsis	n	0
pericallis	n	1
pericarp	n	0
periclase	n	0
pericles	n	1
peridinian	n	0
peridinium	n	1
peridium	n	0
peridot	n	0
peridotite	n	0
perigee	n	0
perigon	n	0
perigonal	a	0
perigone	n	0
perigonium	n	0
perihelion	n	0
perijove	n	0
peril	nv	0
perilla	n	1
perilous	a	0
perilously	r	0
perilune	n	0
perilymph	n	0
perimeter	n	0
perimysium	n	0
perinasal	a	0
perinatal	a	0
perineal	a	0
perineum	n	0
period	n	0
periodic	a	0
periodical	an	0
periosteum	n	0
peripatus	n	0
peripeteia	n	0
peripetia	n	0
peripety	n	0
peripheral	an	0
periphery	n	0
periploca	n	1
peripteral	a	0
perirhinal	a	0
periscope	n	0
periselene	n	0
perish	v	0
perishable	an	0
perisher	n	0
perisoreus	n	1
perisperm	n	0
peristome	n	0
peristylar	a	0
peristyle	n	0
peritoneal	a	0
peritoneum	n	0
peritrate	n	1
periwig	n	0
periwigged	a	0
periwinkle	n	0
perjure	v	0
perjurer	n	0
perjury	n	0
perk	nv	0
perkily	r	0
perkiness	n	0
perky	a	0
perleche	n	0
perlis	n	1
perm	nv	0
permafrost	n	0
permalloy	n	1
permanence	n	0
permanency	n	0
permanent	an	0
permeable	a	0
permeant	a	0
permeate	v	0
permeating	a	0
permeation	n	0
permeative	a	0
permed	a	0
permian	n	1
permic	n	1
permission	n	0
permissive	a	0
permit	nv	0
permutable	a	0
permute	v	0
pernambuco	n	1
pernicious	a	0
pernickety	a	0
pernio	n	0
pernis	n	1
pernod	n	1
peromyscus	n	1
peron	n	1
peroneal	a	0
peroneus	n	0
perorate	v	0
peroration	n	0
peroxidase	n	0
peroxide	nv	0
perpetrate	v	0
perpetual	a	0
perpetuate	v	0
perpetuity	n	0
perplex	v	0
perplexed	a	0
perplexing	a	0
perplexity	n	0
perquisite	n	0
perry	n	0
persea	n	1
persecute	v	0
persecutor	n	0
persephone	n	1
persepolis	n	1
perseus	n	1
persevere	v	0
pershing	n	1
persia	n	1
persian	an	1
persiflage	n	0
persimmon	n	0
persist	v	0
persistent	a	0
persisting	a	0
person	n	0
persona	n	0
personable	a	0
personage	n	0
personal	an	0
personally	r	0
personalty	n	0
personate	v	0
personhood	n	0
personify	v	0
personnel	n	0
persoonia	n	1
perspex	n	1
perspire	v	0
perspirer	n	0
persuade	v	0
persuader	n	0
persuasion	n	0
persuasive	a	0
pert	a	0
pertain	v	0
pertainym	n	0
perth	n	1
pertinence	n	0
pertinency	n	0
pertinent	a	0
pertly	r	0
pertness	n	0
perturb	v	0
perturbed	a	0
perturbing	a	0
pertusaria	n	1
pertussis	n	0
peru	n	1
peruke	n	0
peruked	a	0
perusal	n	0
peruse	v	0
perusing	n	0
perutz	n	1
peruvian	an	1
pervade	v	0
pervasion	n	0
pervasive	a	0
perverse	a	0
perversely	r	0
perversion	n	0
perversity	n	0
perversive	a	0
pervert	nv	0
perverted	a	0
pervious	a	0
pes	n	0
pesach	n	1
pesah	n	1
pesantran	n	0
pesantren	n	0
peseta	n	0
pesewa	n	0
peshawar	n	1
peshmerga	n	0
pesky	a	0
peso	n	0
pessary	n	0
pessimal	a	0
pessimism	n	0
pessimist	n	0
pest	n	0
pester	v	0
pestered	a	0
pesterer	n	0
pestering	a	0
pesthole	n	0
pesthouse	n	0
pesticide	n	0
pestilence	n	0
pestilent	a	0
pestis	n	0
pestle	nv	0
pesto	n	0
pet	anv	0
petabit	n	0
petabyte	n	0
petal	n	0
petaled	a	0
petalled	a	0
petalless	a	0
petallike	a	0
petaloid	a	0
petalous	a	0
petard	n	0
petasites	n	1
petaurista	n	1
petaurus	n	1
petchary	n	0
petcock	n	0
petechia	n	0
peter	n	1
peterburg	n	1
petersburg	n	1
petfood	n	0
petiole	n	0
petiolule	n	0
petite	an	0
petiteness	n	0
petitio	n	0
petition	nv	0
petitioner	n	0
petrarca	n	1
petrarch	n	1
petrel	n	0
petrify	v	0
petrifying	a	0
petrissage	n	0
petrogale	n	1
petroglyph	n	0
petrograd	n	1
petrol	n	0
petrolatum	n	0
petroleum	n	0
petrology	n	0
petromyzon	n	1
petronius	n	1
petrous	a	0
petter	n	0
petteria	n	1
petticoat	n	0
pettifog	v	0
pettily	r	0
pettiness	n	0
petting	n	0
pettish	a	0
pettishly	r	0
petty	an	0
petulance	n	0
petulant	a	0
petulantly	r	0
petunia	n	0
peul	n	1
pew	n	0
pewee	n	0
pewit	n	0
pewter	n	0
peyote	n	0
peziza	n	1
pezizaceae	n	1
pezizales	n	1
pezophaps	n	1
pfalz	n	1
pfc	n	1
pfennig	n	0
pflp	n	1
ph	n	0
phacelia	n	0
phaeophyta	n	1
phaethon	n	1
phaeton	n	0
phage	n	0
phagocyte	n	0
phagocytic	a	0
phagun	n	1
phaius	n	0
phalangeal	a	0
phalanger	n	0
phalangida	n	1
phalangist	n	0
phalangium	n	1
phalanx	n	0
phalaris	n	1
phalarope	n	0
phalaropus	n	1
phalguna	n	1
phallaceae	n	1
phallales	n	1
phallic	a	0
phallus	n	0
phalsa	n	0
phanerogam	n	0
phantasm	n	0
phantasma	n	0
phantasmal	a	0
phantasy	n	0
phantom	an	0
pharaoh	n	1
pharaonic	a	1
pharisaic	a	0
pharisee	n	0
pharma	n	0
pharmacist	n	0
pharmacy	n	0
pharos	n	0
pharsalus	n	1
pharyngeal	an	0
pharynx	n	0
phascogale	n	1
phase	nv	0
phaseolus	n	1
phasianid	n	0
phasianus	n	1
phasmid	n	0
phasmida	n	1
phasmidae	n	1
phasmidia	n	1
phd	n	1
pheasant	n	0
pheidias	n	1
phellem	n	0
phenacetin	n	0
phenacomys	n	0
phenaphen	n	1
phenelzine	n	0
phenergan	n	1
phenicia	n	1
phenol	n	0
phenolic	n	0
phenomenal	a	0
phenomenon	n	0
phenoplast	n	0
phenotype	n	0
phenotypic	a	0
phenytoin	n	0
pheresis	n	0
pheromone	n	0
phi	n	0
phial	n	0
phidias	n	1
philaenus	n	1
philander	v	0
philatelic	a	0
philately	n	0
philemon	n	1
philia	n	0
philip	n	1
philippi	n	1
philippian	n	1
philippic	n	0
philippine	an	1
philistia	n	1
philistine	an	0
phillidae	n	1
